#,Library,Version
1,streamlit,1.44.1
2,pandas,2.2.3
3,numpy,2.2.5
4,matplotlib,3.10.1
5,seaborn,0.13.2
6,scipy,1.15.2
7,xgboost,3.0.0
8,plotly,6.0.1
9,folium,
10,streamlit_folium,
11,qrcode,
12,scikit-learn,8.1
